cpu_percent,rss,vms,pfaults,pageins,time,iteration
6.8,8298496,34400108544,3048,0,2024-08-17 18:37:10,0
0.0,8298496,34400108544,3048,0,2024-08-17 18:37:11,1
0.0,8298496,34400108544,3048,0,2024-08-17 18:37:12,2
0.0,8298496,34400108544,3048,0,2024-08-17 18:37:13,3
0.0,8298496,34400108544,3048,0,2024-08-17 18:37:14,4
0.0,8298496,34400108544,3048,0,2024-08-17 18:37:15,5
0.0,8298496,34400108544,3048,0,2024-08-17 18:37:16,6
0.0,8298496,34400108544,3048,0,2024-08-17 18:37:17,7
0.0,8298496,34400108544,3048,0,2024-08-17 18:37:18,8
0.0,8298496,34400108544,3048,0,2024-08-17 18:37:19,9
97.2,8298496,34400108544,3048,0,2024-08-17 18:37:20,10
99.1,8298496,34400108544,3048,0,2024-08-17 18:37:21,11
99.9,8298496,34400108544,3048,0,2024-08-17 18:37:22,12
99.6,8298496,34400108544,3048,0,2024-08-17 18:37:23,13
100.2,8298496,34400108544,3048,0,2024-08-17 18:37:24,14
99.9,8298496,34400108544,3048,0,2024-08-17 18:37:25,15
58.6,8302592,34400108544,3049,0,2024-08-17 18:37:26,16
2.5,12386304,34404057088,4046,0,2024-08-17 18:37:27,17
2.0,16400384,34408026112,5026,0,2024-08-17 18:37:28,18
2.5,20410368,34413199360,6005,0,2024-08-17 18:37:29,19
2.5,24428544,34419961856,6986,0,2024-08-17 18:37:30,20
2.4,28442624,34423984128,7966,0,2024-08-17 18:37:31,21
2.5,32452608,34428235776,8945,0,2024-08-17 18:37:32,22
2.3,36466688,34432040960,9925,0,2024-08-17 18:37:33,23
2.2,40480768,34435928064,10905,0,2024-08-17 18:37:34,24
2.4,44490752,34439909376,11884,0,2024-08-17 18:37:35,25
,,,,,,
