cpu_percent,rss,vms,pfaults,pageins,time,iteration
7.9,23756800,420444520448,2091,166,2024-08-24 15:02:47,0
0.1,23887872,420463394816,2099,166,2024-08-24 15:02:48,1
0.0,23887872,420463394816,2099,166,2024-08-24 15:02:49,2
0.0,23887872,420463394816,2099,166,2024-08-24 15:02:50,3
0.0,23887872,420463394816,2099,166,2024-08-24 15:02:51,4
0.0,23887872,420463394816,2099,166,2024-08-24 15:02:52,5
0.0,23887872,420463394816,2099,166,2024-08-24 15:02:53,6
0.0,23887872,420463394816,2099,166,2024-08-24 15:02:54,7
0.0,23887872,420463394816,2099,166,2024-08-24 15:02:55,8
0.0,23887872,420463394816,2099,166,2024-08-24 15:02:56,9
0.0,23887872,420463394816,2099,166,2024-08-24 15:02:57,10
0.2,23953408,420472832000,2103,166,2024-08-24 15:02:58,11
0.0,23953408,420472832000,2103,166,2024-08-24 15:02:59,12
0.0,23953408,420472832000,2103,166,2024-08-24 15:03:00,13
0.0,23953408,420472832000,2103,166,2024-08-24 15:03:01,14
0.0,23953408,420472832000,2103,166,2024-08-24 15:03:02,15
0.0,23953408,420472832000,2103,166,2024-08-24 15:03:03,16
0.0,23953408,420472832000,2103,166,2024-08-24 15:03:04,17
0.0,23953408,420472832000,2103,166,2024-08-24 15:03:05,18
0.0,23953408,420472832000,2103,166,2024-08-24 15:03:06,19
0.0,23953408,420472832000,2103,166,2024-08-24 15:03:07,20
