cpu_percent,rss,vms,pfaults,pageins,time,iteration
63.9,12361728,34615349248,4265,73,2024-08-24 23:21:14,0
44.8,17432576,34618540032,5560,147,2024-08-24 23:21:15,1
45.5,23371776,34628603904,7319,682,2024-08-24 23:21:16,2
20.5,25726976,34663649280,7954,791,2024-08-24 23:21:17,3
0.2,25726976,34663649280,7954,791,2024-08-24 23:21:18,4
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:19,5
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:20,6
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:21,7
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:22,8
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:23,9
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:24,10
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:25,11
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:26,12
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:27,13
0.3,25726976,34663649280,7954,791,2024-08-24 23:21:28,14
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:30,15
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:31,16
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:32,17
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:33,18
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:34,19
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:35,20
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:36,21
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:37,22
0.0,25726976,34663649280,7954,791,2024-08-24 23:21:38,23
